x,y,vx,vy,Paddle.y
680,465,15,15,347
695,480,15,15,347
710,495,15,15,347
725,510,15,15,345
740,525,15,15,343
755,540,15,15,342
770,555,15,15,342
770,555,15,-15,342
785,540,15,-15,342
800,525,15,-15,342
815,510,15,-15,342
830,495,15,-15,342
845,480,15,-15,342
860,465,15,-15,342
875,450,15,-15,342
890,435,15,-15,342
905,420,15,-15,342
920,405,15,-15,342
935,390,15,-15,342
950,375,15,-15,341
965,360,15,-15,341
980,345,15,-15,340
995,330,15,-15,338
1010,315,15,-15,333
1025,300,15,-15,316
1040,285,15,-15,290
1055,270,15,-15,262
1070,255,15,-15,226
1085,240,15,-15,207
1100,225,15,-15,197
1115,210,15,-15,193
1130,195,15,-15,192
1145,180,15,-15,183
1160,165,15,-15,177
1160,165,-15,-15,175
1145,150,-15,-15,173
1130,135,-15,-15,173
1115,120,-15,-15,173
1100,105,-15,-15,173
1085,90,-15,-15,173
1070,75,-15,-15,173
1055,60,-15,-15,173
1040,45,-15,-15,173
1040,45,-15,15,173
1025,60,-15,15,173
1010,75,-15,15,173
995,90,-15,15,173
980,105,-15,15,173
965,120,-15,15,173
950,135,-15,15,173
935,150,-15,15,173
920,165,-15,15,173
905,180,-15,15,173
890,195,-15,15,173
875,210,-15,15,173
860,225,-15,15,173
845,240,-15,15,173
830,255,-15,15,173
815,270,-15,15,173
800,285,-15,15,173
785,300,-15,15,173
770,315,-15,15,173
755,330,-15,15,173
740,345,-15,15,173
725,360,-15,15,173
710,375,-15,15,173
695,390,-15,15,173
680,405,-15,15,173
665,420,-15,15,173
650,435,-15,15,173
635,450,-15,15,173
620,465,-15,15,173
605,480,-15,15,173
590,495,-15,15,173
575,510,-15,15,173
560,525,-15,15,173
545,540,-15,15,173
530,555,-15,15,173
530,555,-15,-15,173
515,540,-15,-15,173
500,525,-15,-15,173
485,510,-15,-15,173
470,495,-15,-15,173
455,480,-15,-15,173
440,465,-15,-15,173
425,450,-15,-15,173
410,435,-15,-15,173
395,420,-15,-15,173
380,405,-15,-15,173
365,390,-15,-15,173
350,375,-15,-15,173
335,360,-15,-15,173
320,345,-15,-15,173
305,330,-15,-15,173
290,315,-15,-15,173
275,300,-15,-15,173
260,285,-15,-15,173
245,270,-15,-15,173
230,255,-15,-15,173
215,240,-15,-15,173
200,225,-15,-15,173
185,210,-15,-15,173
170,195,-15,-15,173
155,180,-15,-15,173
140,165,-15,-15,173
125,150,-15,-15,173
110,135,-15,-15,173
95,120,-15,-15,173
80,105,-15,-15,173
65,90,-15,-15,173
50,75,-15,-15,173
35,60,-15,-15,173
35,60,15,-15,173
50,45,15,-15,173
50,45,15,15,173
65,60,15,15,173
80,75,15,15,173
95,90,15,15,173
110,105,15,15,173
125,120,15,15,173
140,135,15,15,173
155,150,15,15,173
170,165,15,15,173
185,180,15,15,173
200,195,15,15,173
215,210,15,15,173
230,225,15,15,173
245,240,15,15,173
260,255,15,15,173
275,270,15,15,173
290,285,15,15,173
305,300,15,15,173
320,315,15,15,173
335,330,15,15,173
350,345,15,15,173
365,360,15,15,173
380,375,15,15,173
395,390,15,15,173
410,405,15,15,173
425,420,15,15,173
440,435,15,15,173
455,450,15,15,173
470,465,15,15,173
485,480,15,15,173
500,495,15,15,173
515,510,15,15,173
530,525,15,15,173
545,540,15,15,173
560,555,15,15,173
560,555,15,-15,173
575,540,15,-15,173
590,525,15,-15,173
605,510,15,-15,173
620,495,15,-15,173
635,480,15,-15,173
650,465,15,-15,173
665,450,15,-15,173
680,435,15,-15,173
695,420,15,-15,173
710,405,15,-15,173
725,390,15,-15,173
740,375,15,-15,173
755,360,15,-15,173
770,345,15,-15,173
785,330,15,-15,173
800,315,15,-15,173
815,300,15,-15,173
830,285,15,-15,173
845,270,15,-15,173
860,255,15,-15,173
875,240,15,-15,173
890,225,15,-15,173
905,210,15,-15,173
920,195,15,-15,173
935,180,15,-15,173
950,165,15,-15,173
965,150,15,-15,173
980,135,15,-15,173
995,120,15,-15,173
1010,105,15,-15,171
1025,90,15,-15,167
1040,75,15,-15,156
1055,60,15,-15,151
1070,45,15,-15,145
1070,45,15,15,135
1085,60,15,15,130
1100,75,15,15,128
1115,90,15,15,126
1130,105,15,15,126
1145,120,15,15,126
1160,135,15,15,126
1160,135,-15,15,126
1145,150,-15,15,126
1130,165,-15,15,126
1115,180,-15,15,126
1100,195,-15,15,126
1085,210,-15,15,126
1070,225,-15,15,126
1055,240,-15,15,126
1040,255,-15,15,126
1025,270,-15,15,126
1010,285,-15,15,126
995,300,-15,15,126
980,315,-15,15,126
965,330,-15,15,126
950,345,-15,15,126
935,360,-15,15,126
920,375,-15,15,126
905,390,-15,15,126
890,405,-15,15,126
875,420,-15,15,126
860,435,-15,15,126
845,450,-15,15,126
830,465,-15,15,126
815,480,-15,15,126
800,495,-15,15,126
785,510,-15,15,126
770,525,-15,15,126
755,540,-15,15,126
740,555,-15,15,126
740,555,-15,-15,126
725,540,-15,-15,126
710,525,-15,-15,126
695,510,-15,-15,126
680,495,-15,-15,126
665,480,-15,-15,126
650,465,-15,-15,126
635,450,-15,-15,126
620,435,-15,-15,126
605,420,-15,-15,126
590,405,-15,-15,126
575,390,-15,-15,126
560,375,-15,-15,126
545,360,-15,-15,126
530,345,-15,-15,126
515,330,-15,-15,126
500,315,-15,-15,126
485,300,-15,-15,126
470,285,-15,-15,126
455,270,-15,-15,126
440,255,-15,-15,126
425,240,-15,-15,126
410,225,-15,-15,126
395,210,-15,-15,126
380,195,-15,-15,126
365,180,-15,-15,126
350,165,-15,-15,126
335,150,-15,-15,126
320,135,-15,-15,126
305,120,-15,-15,126
290,105,-15,-15,126
275,90,-15,-15,126
260,75,-15,-15,126
245,60,-15,-15,126
230,45,-15,-15,126
230,45,-15,15,126
215,60,-15,15,126
200,75,-15,15,126
185,90,-15,15,126
170,105,-15,15,126
155,120,-15,15,126
140,135,-15,15,126
125,150,-15,15,126
110,165,-15,15,126
95,180,-15,15,126
80,195,-15,15,126
65,210,-15,15,126
50,225,-15,15,126
35,240,-15,15,126
35,240,15,15,126
50,255,15,15,126
65,270,15,15,126
80,285,15,15,126
95,300,15,15,126
110,315,15,15,126
125,330,15,15,126
140,345,15,15,126
155,360,15,15,126
170,375,15,15,126
185,390,15,15,126
200,405,15,15,126
215,420,15,15,126
230,435,15,15,126
245,450,15,15,126
260,465,15,15,126
275,480,15,15,126
290,495,15,15,126
305,510,15,15,126
320,525,15,15,126
335,540,15,15,126
350,555,15,15,126
350,555,15,-15,126
365,540,15,-15,126
380,525,15,-15,126
395,510,15,-15,128
410,495,15,-15,132
425,480,15,-15,134
440,465,15,-15,135
455,450,15,-15,137
470,435,15,-15,138
485,420,15,-15,141
500,405,15,-15,145
515,390,15,-15,147
530,375,15,-15,150
545,360,15,-15,152
560,345,15,-15,156
575,330,15,-15,161
590,315,15,-15,168
605,300,15,-15,176
620,285,15,-15,183
635,270,15,-15,191
650,255,15,-15,196
665,240,15,-15,198
680,225,15,-15,199
695,210,15,-15,200
710,195,15,-15,200
725,180,15,-15,200
740,165,15,-15,200
755,150,15,-15,200
770,135,15,-15,200
785,120,15,-15,200
800,105,15,-15,200
815,90,15,-15,200
830,75,15,-15,200
845,60,15,-15,200
860,45,15,-15,200
860,45,15,15,200
875,60,15,15,200
890,75,15,15,200
905,90,15,15,200
920,105,15,15,200
935,120,15,15,200
950,135,15,15,200
965,150,15,15,200
980,165,15,15,200
995,180,15,15,200
1010,195,15,15,200
1025,210,15,15,200
1040,225,15,15,200
1055,240,15,15,200
1070,255,15,15,200
1085,270,15,15,200
1100,285,15,15,224
1115,300,15,15,266
1130,315,15,15,293
1145,330,15,15,324
1160,345,15,15,358
1160,345,-15,15,376
1145,360,-15,15,382
1130,375,-15,15,383
1115,390,-15,15,383
1100,405,-15,15,383
1085,420,-15,15,383
1070,435,-15,15,383
1055,450,-15,15,383
1040,465,-15,15,383
1025,480,-15,15,383
1010,495,-15,15,383
995,510,-15,15,383
980,525,-15,15,383
965,540,-15,15,383
950,555,-15,15,383
950,555,-15,-15,383
935,540,-15,-15,383
920,525,-15,-15,383
905,510,-15,-15,383
890,495,-15,-15,383
875,480,-15,-15,383
860,465,-15,-15,383
845,450,-15,-15,382
830,435,-15,-15,382
815,420,-15,-15,382
800,405,-15,-15,382
785,390,-15,-15,382
770,375,-15,-15,382
755,360,-15,-15,382
740,345,-15,-15,382
725,330,-15,-15,380
710,315,-15,-15,380
695,300,-15,-15,380
680,285,-15,-15,380
665,270,-15,-15,380
650,255,-15,-15,380
635,240,-15,-15,380
620,225,-15,-15,380
605,210,-15,-15,380
590,195,-15,-15,380
575,180,-15,-15,380
560,165,-15,-15,380
545,150,-15,-15,380
530,135,-15,-15,380
515,120,-15,-15,380
500,105,-15,-15,380
485,90,-15,-15,380
470,75,-15,-15,380
455,60,-15,-15,380
440,45,-15,-15,380
440,45,-15,15,380
425,60,-15,15,380
410,75,-15,15,380
395,90,-15,15,380
380,105,-15,15,380
365,120,-15,15,380
350,135,-15,15,380
335,150,-15,15,380
320,165,-15,15,380
305,180,-15,15,380
290,195,-15,15,380
275,210,-15,15,380
260,225,-15,15,380
245,240,-15,15,380
230,255,-15,15,380
215,270,-15,15,380
200,285,-15,15,380
185,300,-15,15,380
170,315,-15,15,380
155,330,-15,15,380
140,345,-15,15,380
125,360,-15,15,380
110,375,-15,15,380
95,390,-15,15,380
80,405,-15,15,380
65,420,-15,15,380
50,435,-15,15,380
35,450,-15,15,380
35,450,15,15,380
50,465,15,15,380
65,480,15,15,380
80,495,15,15,380
95,510,15,15,380
110,525,15,15,380
125,540,15,15,380
140,555,15,15,380
140,555,15,-15,380
155,540,15,-15,380
170,525,15,-15,380
185,510,15,-15,380
200,495,15,-15,380
215,480,15,-15,380
230,465,15,-15,380
245,450,15,-15,380
260,435,15,-15,380
275,420,15,-15,380
290,405,15,-15,380
305,390,15,-15,380
320,375,15,-15,380
335,360,15,-15,380
350,345,15,-15,380
365,330,15,-15,380
380,315,15,-15,380
395,300,15,-15,380
410,285,15,-15,377
425,270,15,-15,374
440,255,15,-15,351
455,240,15,-15,335
470,225,15,-15,312
485,210,15,-15,312
500,195,15,-15,312
515,180,15,-15,312
530,165,15,-15,312
545,150,15,-15,312
560,135,15,-15,312
575,120,15,-15,312
590,105,15,-15,312
605,90,15,-15,312
620,75,15,-15,312
635,60,15,-15,312
650,45,15,-15,312
650,45,15,15,312
665,60,15,15,312
680,75,15,15,312
695,90,15,15,312
710,105,15,15,312
725,120,15,15,312
740,135,15,15,312
755,150,15,15,312
770,165,15,15,312
785,180,15,15,312
800,195,15,15,312
815,210,15,15,312
830,225,15,15,312
845,240,15,15,312
860,255,15,15,312
875,270,15,15,312
890,285,15,15,312
905,300,15,15,312
920,315,15,15,312
935,330,15,15,312
950,345,15,15,312
965,360,15,15,312
980,375,15,15,312
995,390,15,15,312
1010,405,15,15,312
1025,420,15,15,312
1040,435,15,15,312
1055,450,15,15,312
1070,465,15,15,312
1085,480,15,15,312
1100,495,15,15,312
1115,510,15,15,312
1130,525,15,15,312
1145,540,15,15,312
1160,555,15,15,312
1160,555,15,-15,312
1175,540,15,-15,312
1190,525,15,-15,312
1205,510,15,-15,312
1220,495,15,-15,312
1235,480,15,-15,312
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,458
1235,480,-15,-15,458
1235,480,15,-15,456
1235,480,-15,-15,456
1235,480,15,-15,456
1235,480,-15,-15,456
1235,480,15,-15,456
1235,480,-15,-15,455
1235,480,15,-15,455
1235,480,-15,-15,455
1235,480,15,-15,455
1235,480,-15,-15,455
1235,480,15,-15,456
1235,480,-15,-15,456
1235,480,15,-15,456
1235,480,-15,-15,456
1235,480,15,-15,456
1235,480,-15,-15,456
1235,480,15,-15,456
1235,480,-15,-15,455
1235,480,15,-15,455
1235,480,-15,-15,450
1235,480,15,-15,404
1235,480,-15,-15,404
1235,480,15,-15,404
1235,480,-15,-15,404
1235,480,15,-15,404
1235,480,-15,-15,404
1235,480,15,-15,404
1235,480,-15,-15,404
1235,480,15,-15,404
1235,480,-15,-15,404
1235,480,15,-15,404
1235,480,-15,-15,404
1220,465,-15,-15,325
1205,450,-15,-15,239
1190,435,-15,-15,239
1175,420,-15,-15,239
1160,405,-15,-15,239
1145,390,-15,-15,239
1130,375,-15,-15,239
1115,360,-15,-15,239
1100,345,-15,-15,239
1085,330,-15,-15,239
1070,315,-15,-15,239
1055,300,-15,-15,239
1040,285,-15,-15,239
1025,270,-15,-15,239
1010,255,-15,-15,239
995,240,-15,-15,239
980,225,-15,-15,239
965,210,-15,-15,239
950,195,-15,-15,239
935,180,-15,-15,239
920,165,-15,-15,239
905,150,-15,-15,239
890,135,-15,-15,239
875,120,-15,-15,239
860,105,-15,-15,239
845,90,-15,-15,239
830,75,-15,-15,239
815,60,-15,-15,239
800,45,-15,-15,239
800,45,-15,15,239
785,60,-15,15,239
770,75,-15,15,239
755,90,-15,15,239
740,105,-15,15,239
725,120,-15,15,239
710,135,-15,15,239
695,150,-15,15,239
680,165,-15,15,239
665,180,-15,15,239
650,195,-15,15,239
635,210,-15,15,239
620,225,-15,15,239
605,240,-15,15,239
590,255,-15,15,239
575,270,-15,15,239
560,285,-15,15,239
545,300,-15,15,239
530,315,-15,15,239
515,330,-15,15,79
500,345,-15,15,84
485,360,-15,15,85
470,375,-15,15,85
455,390,-15,15,85
440,405,-15,15,85
425,420,-15,15,85
410,435,-15,15,85
395,450,-15,15,85
380,465,-15,15,85
365,480,-15,15,85
350,495,-15,15,85
335,510,-15,15,85
320,525,-15,15,85
305,540,-15,15,85
290,555,-15,15,85
290,555,-15,-15,89
275,540,-15,-15,119
260,525,-15,-15,141
245,510,-15,-15,165
230,495,-15,-15,181
215,480,-15,-15,206
200,465,-15,-15,221
185,450,-15,-15,238
170,435,-15,-15,263
155,420,-15,-15,275
140,405,-15,-15,280
125,390,-15,-15,281
110,375,-15,-15,282
95,360,-15,-15,280
80,345,-15,-15,280
65,330,-15,-15,280
50,315,-15,-15,280
35,300,-15,-15,280
35,300,15,-15,280
50,285,15,-15,280
65,270,15,-15,280
80,255,15,-15,280
95,240,15,-15,280
110,225,15,-15,282
125,210,15,-15,293
140,195,15,-15,301
155,180,15,-15,307
170,165,15,-15,319
185,150,15,-15,334
200,135,15,-15,339
215,120,15,-15,341
230,105,15,-15,341
245,90,15,-15,342
260,75,15,-15,344
275,60,15,-15,346
290,45,15,-15,353
290,45,15,15,357
305,60,15,15,361
320,75,15,15,362
335,90,15,15,363
350,105,15,15,363
365,120,15,15,363
380,135,15,15,363
395,150,15,15,364
410,165,15,15,364
425,180,15,15,364
440,195,15,15,364
455,210,15,15,364
470,225,15,15,365
485,240,15,15,367
500,255,15,15,371
515,270,15,15,374
530,285,15,15,376
545,300,15,15,377
560,315,15,15,379
575,330,15,15,381
590,345,15,15,381
605,360,15,15,381
620,375,15,15,381
635,390,15,15,381
650,405,15,15,379
665,420,15,15,378
680,435,15,15,376
695,450,15,15,368
710,465,15,15,352
725,480,15,15,329
740,495,15,15,324
755,510,15,15,322
770,525,15,15,322
785,540,15,15,322
800,555,15,15,322
800,555,15,-15,322
815,540,15,-15,322
830,525,15,-15,322
845,510,15,-15,322
860,495,15,-15,322
875,480,15,-15,322
890,465,15,-15,322
905,450,15,-15,322
920,435,15,-15,322
935,420,15,-15,322
950,405,15,-15,322
965,390,15,-15,322
980,375,15,-15,322
995,360,15,-15,322
1010,345,15,-15,319
1025,330,15,-15,313
1040,315,15,-15,297
1055,300,15,-15,284
1070,285,15,-15,275
1085,270,15,-15,257
1100,255,15,-15,243
1115,240,15,-15,224
1130,225,15,-15,212
1145,210,15,-15,207
1160,195,15,-15,206
1160,195,-15,-15,206
1145,180,-15,-15,206
1130,165,-15,-15,206
1115,150,-15,-15,206
1100,135,-15,-15,206
1085,120,-15,-15,206
1070,105,-15,-15,206
1055,90,-15,-15,206
1040,75,-15,-15,206
1025,60,-15,-15,206
1010,45,-15,-15,206
1010,45,-15,15,206
995,60,-15,15,206
980,75,-15,15,206
965,90,-15,15,206
950,105,-15,15,206
935,120,-15,15,206
920,135,-15,15,206
905,150,-15,15,206
890,165,-15,15,206
875,180,-15,15,206
860,195,-15,15,206
845,210,-15,15,206
830,225,-15,15,206
815,240,-15,15,206
800,255,-15,15,206
785,270,-15,15,206
770,285,-15,15,206
755,300,-15,15,206
740,315,-15,15,206
725,330,-15,15,214
710,345,-15,15,220
695,360,-15,15,229
680,375,-15,15,252
665,390,-15,15,270
650,405,-15,15,312
635,420,-15,15,322
620,435,-15,15,327
605,450,-15,15,336
590,465,-15,15,342
575,480,-15,15,348
560,495,-15,15,351
545,510,-15,15,355
530,525,-15,15,357
515,540,-15,15,358
500,555,-15,15,359
500,555,-15,-15,360
485,540,-15,-15,360
470,525,-15,-15,360
455,510,-15,-15,360
440,495,-15,-15,360
425,480,-15,-15,360
410,465,-15,-15,360
395,450,-15,-15,360
380,435,-15,-15,360
365,420,-15,-15,360
350,405,-15,-15,360
335,390,-15,-15,360
320,375,-15,-15,360
305,360,-15,-15,360
290,345,-15,-15,360
275,330,-15,-15,360
260,315,-15,-15,360
245,300,-15,-15,360
230,285,-15,-15,360
215,270,-15,-15,360
200,255,-15,-15,360
185,240,-15,-15,360
170,225,-15,-15,360
155,210,-15,-15,360
140,195,-15,-15,360
125,180,-15,-15,360
110,165,-15,-15,360
95,150,-15,-15,360
80,135,-15,-15,360
65,120,-15,-15,360
50,105,-15,-15,360
35,90,-15,-15,360
35,90,15,-15,360
50,75,15,-15,360
65,60,15,-15,360
80,45,15,-15,360
80,45,15,15,360
95,60,15,15,360
110,75,15,15,360
125,90,15,15,360
140,105,15,15,360
155,120,15,15,360
170,135,15,15,360
185,150,15,15,360
200,165,15,15,360
215,180,15,15,360
230,195,15,15,360
245,210,15,15,360
260,225,15,15,360
275,240,15,15,360
290,255,15,15,360
305,270,15,15,360
320,285,15,15,360
335,300,15,15,360
350,315,15,15,360
365,330,15,15,360
380,345,15,15,360
395,360,15,15,360
410,375,15,15,360
425,390,15,15,360
440,405,15,15,360
455,420,15,15,360
470,435,15,15,360
485,450,15,15,360
500,465,15,15,360
515,480,15,15,360
530,495,15,15,360
545,510,15,15,360
560,525,15,15,360
575,540,15,15,360
590,555,15,15,360
590,555,15,-15,360
605,540,15,-15,360
620,525,15,-15,359
635,510,15,-15,353
650,495,15,-15,345
665,480,15,-15,339
680,465,15,-15,331
695,450,15,-15,323
710,435,15,-15,318
725,420,15,-15,313
740,405,15,-15,310
755,390,15,-15,307
770,375,15,-15,302
785,360,15,-15,294
800,345,15,-15,286
815,330,15,-15,283
830,315,15,-15,280
845,300,15,-15,275
860,285,15,-15,270
875,270,15,-15,265
890,255,15,-15,262
905,240,15,-15,260
920,225,15,-15,259
935,210,15,-15,258
950,195,15,-15,251
965,180,15,-15,246
980,165,15,-15,241
995,150,15,-15,235
1010,135,15,-15,231
1025,120,15,-15,227
1040,105,15,-15,224
1055,90,15,-15,222
1070,75,15,-15,220
1085,60,15,-15,220
1100,45,15,-15,220
1100,45,15,15,220
1115,60,15,15,220
1130,75,15,15,220
1145,90,15,15,220
1160,105,15,15,220
1160,105,-15,15,220
1145,120,-15,15,220
1130,135,-15,15,214
1115,150,-15,15,210
1100,165,-15,15,204
1085,180,-15,15,203
1070,195,-15,15,198
1055,210,-15,15,190
1040,225,-15,15,183
1025,240,-15,15,181
1010,255,-15,15,181
995,270,-15,15,181
980,285,-15,15,181
965,300,-15,15,181
950,315,-15,15,180
935,330,-15,15,180
920,345,-15,15,180
905,360,-15,15,180
890,375,-15,15,180
875,390,-15,15,180
860,405,-15,15,180
845,420,-15,15,180
830,435,-15,15,180
815,450,-15,15,180
800,465,-15,15,180
785,480,-15,15,180
770,495,-15,15,180
755,510,-15,15,180
740,525,-15,15,180
725,540,-15,15,180
710,555,-15,15,180
710,555,-15,-15,180
695,540,-15,-15,181
680,525,-15,-15,181
665,510,-15,-15,181
650,495,-15,-15,181
635,480,-15,-15,181
620,465,-15,-15,181
605,450,-15,-15,181
590,435,-15,-15,181
575,420,-15,-15,181
560,405,-15,-15,181
545,390,-15,-15,181
530,375,-15,-15,181
515,360,-15,-15,182
500,345,-15,-15,182
485,330,-15,-15,182
470,315,-15,-15,182
455,300,-15,-15,183
440,285,-15,-15,183
425,270,-15,-15,183
410,255,-15,-15,183
395,240,-15,-15,183
380,225,-15,-15,183
365,210,-15,-15,183
350,195,-15,-15,183
335,180,-15,-15,184
320,165,-15,-15,184
305,150,-15,-15,184
290,135,-15,-15,184
275,120,-15,-15,184
260,105,-15,-15,184
245,90,-15,-15,184
230,75,-15,-15,184
215,60,-15,-15,184
200,45,-15,-15,184
200,45,-15,15,184
185,60,-15,15,184
170,75,-15,15,184
155,90,-15,15,184
140,105,-15,15,184
125,120,-15,15,184
110,135,-15,15,184
95,150,-15,15,184
80,165,-15,15,184
65,180,-15,15,184
50,195,-15,15,184
35,210,-15,15,184
35,210,15,15,184
50,225,15,15,184
65,240,15,15,184
80,255,15,15,184
95,270,15,15,184
110,285,15,15,191
125,300,15,15,211
140,315,15,15,227
155,330,15,15,243
170,345,15,15,259
185,360,15,15,277
200,375,15,15,286
215,390,15,15,296
230,405,15,15,319
245,420,15,15,327
260,435,15,15,333
275,450,15,15,336
290,465,15,15,339
305,480,15,15,347
320,495,15,15,365
335,510,15,15,368
350,525,15,15,369
365,540,15,15,369
380,555,15,15,369
380,555,15,-15,369
395,540,15,-15,369
410,525,15,-15,369
425,510,15,-15,369
440,495,15,-15,369
455,480,15,-15,365
470,465,15,-15,354
485,450,15,-15,349
500,435,15,-15,337
515,420,15,-15,324
530,405,15,-15,308
545,390,15,-15,284
560,375,15,-15,269
575,360,15,-15,257
590,345,15,-15,251
605,330,15,-15,234
620,315,15,-15,225
635,300,15,-15,220
650,285,15,-15,217
665,270,15,-15,217
680,255,15,-15,217
695,240,15,-15,217
710,225,15,-15,217
725,210,15,-15,217
740,195,15,-15,217
755,180,15,-15,217
770,165,15,-15,217
785,150,15,-15,217
800,135,15,-15,207
815,120,15,-15,187
830,105,15,-15,151
845,90,15,-15,116
860,75,15,-15,99
875,60,15,-15,91
890,45,15,-15,86
890,45,15,15,81
905,60,15,15,81
920,75,15,15,81
935,90,15,15,81
950,105,15,15,81
965,120,15,15,82
980,135,15,15,83
995,150,15,15,83
1010,165,15,15,84
1025,180,15,15,84
1040,195,15,15,84
1055,210,15,15,85
1070,225,15,15,100
1085,240,15,15,117
1100,255,15,15,150
1115,270,15,15,172
1130,285,15,15,225
1145,300,15,15,259
1160,315,15,15,285
1160,315,-15,15,299
1145,330,-15,15,315
1130,345,-15,15,334
1115,360,-15,15,346
1100,375,-15,15,347
1085,390,-15,15,347
1070,405,-15,15,347
1055,420,-15,15,347
1040,435,-15,15,347
1025,450,-15,15,347
1010,465,-15,15,347
995,480,-15,15,347
980,495,-15,15,347
965,510,-15,15,347
950,525,-15,15,347
935,540,-15,15,347
920,555,-15,15,346
920,555,-15,-15,346
905,540,-15,-15,346
890,525,-15,-15,346
875,510,-15,-15,346
860,495,-15,-15,346
845,480,-15,-15,346
830,465,-15,-15,346
815,450,-15,-15,346
800,435,-15,-15,346
785,420,-15,-15,346
770,405,-15,-15,346
755,390,-15,-15,346
740,375,-15,-15,346
725,360,-15,-15,346
710,345,-15,-15,346
695,330,-15,-15,346
680,315,-15,-15,346
665,300,-15,-15,346
650,285,-15,-15,346
635,270,-15,-15,346
620,255,-15,-15,346
605,240,-15,-15,348
590,225,-15,-15,350
575,210,-15,-15,351
560,195,-15,-15,354
545,180,-15,-15,357
530,165,-15,-15,364
515,150,-15,-15,370
500,135,-15,-15,375
485,120,-15,-15,380
470,105,-15,-15,382
455,90,-15,-15,383
440,75,-15,-15,383
425,60,-15,-15,383
410,45,-15,-15,384
410,45,-15,15,385
395,60,-15,15,385
380,75,-15,15,385
365,90,-15,15,385
350,105,-15,15,385
335,120,-15,15,385
320,135,-15,15,385
305,150,-15,15,385
290,165,-15,15,385
275,180,-15,15,385
260,195,-15,15,385
245,210,-15,15,385
230,225,-15,15,385
215,240,-15,15,385
200,255,-15,15,385
185,270,-15,15,385
170,285,-15,15,385
155,300,-15,15,385
140,315,-15,15,385
125,330,-15,15,385
110,345,-15,15,385
95,360,-15,15,385
80,375,-15,15,384
65,390,-15,15,384
50,405,-15,15,384
35,420,-15,15,384
35,420,15,15,384
50,435,15,15,384
65,450,15,15,384
80,465,15,15,384
95,480,15,15,384
110,495,15,15,384
125,510,15,15,384
140,525,15,15,384
155,540,15,15,384
170,555,15,15,384
170,555,15,-15,384
185,540,15,-15,384
200,525,15,-15,384
